NAME                            INSTALLED                           FIXED IN                           TYPE       VULNERABILITY        SEVERITY  EPSS           RISK          
stdlib                          go1.14.12                           1.18.6                             go-module  CVE-2022-27664       High      0.1% (30th)    < 0.1         
stdlib                          go1.14.12                           *1.21.11, 1.22.4                   go-module  CVE-2024-24790       Critical  < 0.1% (26th)  < 0.1         
stdlib                          go1.14.12                           1.17                               go-module  CVE-2021-29923       High      0.1% (30th)    < 0.1         
stdlib                          go1.14.12                           *1.19.10, 1.20.5                   go-module  CVE-2023-29404       Critical  < 0.1% (25th)  < 0.1         
stdlib                          go1.14.12                                                              go-module  CVE-2020-29510       Medium    0.1% (32nd)    < 0.1         
stdlib                          go1.14.12                           *1.17.13, 1.18.5                   go-module  CVE-2022-32189       High      0.1% (28th)    < 0.1         
stdlib                          go1.14.12                           *1.17.11, 1.18.3                   go-module  CVE-2022-29804       High      < 0.1% (27th)  < 0.1         
github.com/minio/minio          v0.0.0-20200114012931-30922148fbb5  0.0.0-20240527191746-e0fe7cc39172  go-module  GHSA-95fr-cm4m-q5p9  Medium    0.1% (34th)    < 0.1         
golang.org/x/text               v0.3.3                              0.3.7                              go-module  GHSA-ppp9-7jff-5vj2  High      < 0.1% (26th)  < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-30632       High      < 0.1% (25th)  < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-30633       High      < 0.1% (25th)  < 0.1         
stdlib                          go1.14.12                           1.19.6                             go-module  CVE-2022-41722       High      < 0.1% (25th)  < 0.1         
stdlib                          go1.14.12                           *1.22.7, 1.23.1                    go-module  CVE-2024-34158       High      < 0.1% (24th)  < 0.1         
stdlib                          go1.14.12                           *1.19.12, 1.20.7                   go-module  CVE-2023-29409       Medium    0.1% (30th)    < 0.1         
golang.org/x/oauth2             v0.0.0-20200107190931-bf48bf16ab8d  0.27.0                             go-module  GHSA-6v2p-p543-phr9  High      < 0.1% (23rd)  < 0.1         
stdlib                          go1.14.12                           *1.16.12, 1.17.5                   go-module  CVE-2021-44716       High      < 0.1% (24th)  < 0.1         
golang.org/x/crypto             v0.0.0-20200622213623-75b288015ac9  0.0.0-20220314234659-1baeb1ce4c0b  go-module  GHSA-8c26-wmh5-6g9v  High      < 0.1% (22nd)  < 0.1         
stdlib                          go1.14.12                           *1.22.7, 1.23.1                    go-module  CVE-2024-34155       Medium    0.1% (30th)    < 0.1         
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.13.0                             go-module  GHSA-2wrh-6pvc-2jm9  Medium    < 0.1% (27th)  < 0.1         
golang.org/x/crypto             v0.0.0-20200622213623-75b288015ac9  0.0.0-20201216223049-8b5274cf687f  go-module  GHSA-3vm4-22fp-5rfm  High      < 0.1% (21st)  < 0.1         
stdlib                          go1.14.12                           *1.18.9, 1.19.4                    go-module  CVE-2022-41720       High      < 0.1% (21st)  < 0.1         
stdlib                          go1.14.12                           *1.19.8, 1.20.3                    go-module  CVE-2023-24536       High      < 0.1% (20th)  < 0.1         
stdlib                          go1.14.12                           *1.19.9, 1.20.4                    go-module  CVE-2023-24539       High      < 0.1% (20th)  < 0.1         
stdlib                          go1.14.12                           *1.20.11, 1.21.4                   go-module  CVE-2023-45283       High      < 0.1% (19th)  < 0.1         
stdlib                          go1.14.12                           *1.20.9, 1.21.2                    go-module  CVE-2023-39323       High      < 0.1% (18th)  < 0.1         
stdlib                          go1.14.12                           *1.23.12, 1.24.6                   go-module  CVE-2025-47907       High      < 0.1% (18th)  < 0.1         
stdlib                          go1.14.12                           *1.16.10, 1.17.3                   go-module  CVE-2021-41772       High      < 0.1% (19th)  < 0.1         
stdlib                          go1.14.12                           *1.16.14, 1.17.7                   go-module  CVE-2022-23773       High      < 0.1% (19th)  < 0.1         
stdlib                          go1.14.12                           *1.20.12, 1.21.5                   go-module  CVE-2023-45285       High      < 0.1% (17th)  < 0.1         
stdlib                          go1.14.12                           1.19.6                             go-module  CVE-2022-41725       High      < 0.1% (15th)  < 0.1         
stdlib                          go1.14.12                           *1.19.9, 1.20.4                    go-module  CVE-2023-29400       High      < 0.1% (14th)  < 0.1         
golang.org/x/text               v0.3.3                              0.3.8                              go-module  GHSA-69ch-w2m2-3vjp  High      < 0.1% (13th)  < 0.1         
stdlib                          go1.14.12                           *1.20.8, 1.21.1                    go-module  CVE-2023-39318       Medium    < 0.1% (19th)  < 0.1         
stdlib                          go1.14.12                           *1.20.8, 1.21.1                    go-module  CVE-2023-39319       Medium    < 0.1% (19th)  < 0.1         
stdlib                          go1.14.12                           *1.19.8, 1.20.3                    go-module  CVE-2023-24534       High      < 0.1% (12th)  < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-32148       Medium    < 0.1% (17th)  < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-30631       High      < 0.1% (11th)  < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-1705        Medium    < 0.1% (16th)  < 0.1         
k8s.io/client-go                v0.18.4                             0.18.14                            go-module  GHSA-8cfg-vx93-jvxw  Medium    < 0.1% (18th)  < 0.1         
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.0.0-20210520170846-37e1c6afe023  go-module  GHSA-83g2-8m93-v3w7  High      < 0.1% (8th)   < 0.1         
stdlib                          go1.14.12                           *1.15.13, 1.16.5                   go-module  CVE-2021-33195       High      < 0.1% (8th)   < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-30630       High      < 0.1% (8th)   < 0.1         
stdlib                          go1.14.12                           *1.20.12, 1.21.5                   go-module  CVE-2023-39326       Medium    < 0.1% (14th)  < 0.1         
stdlib                          go1.14.12                           *1.14.14, 1.15.7                   go-module  CVE-2021-3114        Medium    < 0.1% (12th)  < 0.1         
stdlib                          go1.14.12                           *1.18.7, 1.19.2                    go-module  CVE-2022-2880        High      < 0.1% (7th)   < 0.1         
stdlib                          go1.14.12                           *1.17.11, 1.18.3                   go-module  CVE-2022-30580       High      < 0.1% (6th)   < 0.1         
stdlib                          go1.14.12                           *1.22.11, 1.23.5, 1.24.0-rc.2      go-module  CVE-2024-45336       Medium    < 0.1% (11th)  < 0.1         
stdlib                          go1.14.12                           *1.15.13, 1.16.5                   go-module  CVE-2021-33198       High      < 0.1% (7th)   < 0.1         
stdlib                          go1.14.12                           *1.17.11, 1.18.3                   go-module  CVE-2022-30629       Low       < 0.1% (20th)  < 0.1         
stdlib                          go1.14.12                           *1.15.9, 1.16.1                    go-module  CVE-2021-27918       High      < 0.1% (6th)   < 0.1         
stdlib                          go1.14.12                           *1.15.13, 1.16.5                   go-module  CVE-2021-33197       Medium    < 0.1% (9th)   < 0.1         
stdlib                          go1.14.12                           *1.22.11, 1.23.5, 1.24.0-rc.2      go-module  CVE-2024-45341       Medium    < 0.1% (7th)   < 0.1         
stdlib                          go1.14.12                           *1.17.11, 1.18.3                   go-module  CVE-2022-30634       High      < 0.1% (4th)   < 0.1         
stdlib                          go1.14.12                           *1.16.14, 1.17.7                   go-module  CVE-2022-23806       Critical  < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.15.13, 1.16.5                   go-module  CVE-2021-33196       High      < 0.1% (4th)   < 0.1         
stdlib                          go1.14.12                           *1.19.8, 1.20.3                    go-module  CVE-2023-24537       High      < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.16.8, 1.17.1                    go-module  CVE-2021-39293       High      < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.19.7, 1.20.2                    go-module  CVE-2023-24532       Medium    < 0.1% (4th)   < 0.1         
stdlib                          go1.14.12                           *1.16.14, 1.17.7                   go-module  CVE-2022-23772       High      < 0.1% (2nd)   < 0.1         
stdlib                          go1.14.12                           *1.18.7, 1.19.2                    go-module  CVE-2022-41715       High      < 0.1% (2nd)   < 0.1         
stdlib                          go1.14.12                           1.19.6                             go-module  CVE-2022-41724       High      < 0.1% (2nd)   < 0.1         
stdlib                          go1.14.12                           *1.18.7, 1.19.2                    go-module  CVE-2022-2879        High      < 0.1% (2nd)   < 0.1         
stdlib                          go1.14.12                           *1.23.8, 1.24.2                    go-module  CVE-2025-22871       Critical  < 0.1% (1st)   < 0.1         
stdlib                          go1.14.12                           *1.23.10, 1.24.4                   go-module  CVE-2025-4673        Medium    < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.20.11, 1.21.4                   go-module  CVE-2023-45284       Medium    < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-28131       High      < 0.1% (1st)   < 0.1         
golang.org/x/crypto             v0.0.0-20200622213623-75b288015ac9  0.0.0-20211202192323-5770296d904e  go-module  GHSA-gwc9-m7rh-j2ww  High      < 0.1% (1st)   < 0.1         
stdlib                          go1.14.12                           *1.16.15, 1.17.8                   go-module  CVE-2022-24921       High      < 0.1% (1st)   < 0.1         
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.38.0                             go-module  GHSA-vvgc-356p-c3xw  Medium    < 0.1% (3rd)   < 0.1         
stdlib                          go1.14.12                           *1.18.8, 1.19.3                    go-module  CVE-2022-41716       High      < 0.1% (1st)   < 0.1         
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.36.0                             go-module  GHSA-qxp5-gwg8-xv66  Medium    < 0.1% (2nd)   < 0.1         
stdlib                          go1.14.12                           *1.19.10, 1.20.5                   go-module  CVE-2023-29403       High      < 0.1% (0th)   < 0.1         
stdlib                          go1.14.12                           *1.23.10, 1.24.4                   go-module  CVE-2025-0913        Medium    < 0.1% (1st)   < 0.1         
golang.org/x/net                v0.0.0-20201021035429-f5854403a974  0.0.0-20210428140749-89ef3d95e781  go-module  GHSA-h86h-8ppg-mxmh  Medium    < 0.1% (0th)   < 0.1         
stdlib                          go1.14.12                           *1.22.12, 1.23.6, 1.24.0-rc.3      go-module  CVE-2025-22866       Medium    < 0.1% (1st)   < 0.1         
stdlib                          go1.14.12                           *1.23.11, 1.24.5                   go-module  CVE-2025-4674        High      < 0.1% (0th)   < 0.1         
stdlib                          go1.14.12                           *1.15.12, 1.16.4                   go-module  CVE-2021-31525       Medium    < 0.1% (0th)   < 0.1         
stdlib                          go1.14.12                           *1.21.11, 1.22.4                   go-module  CVE-2024-24789       Medium    < 0.1% (0th)   < 0.1         
stdlib                          go1.14.12                           *1.17.12, 1.18.4                   go-module  CVE-2022-1962        Medium    < 0.1% (0th)   < 0.1
