NAME                            VERSION                        TYPE                       
pytz                            2025.2                         python                     
pyyaml                          6.0.1                          python                     
readline                        8.1-4.el9                      rpm                        
redhat-release                  3:9.6-0.1.0.1.el9              rpm                        
rpm                             4.16.1.3-37.el9                rpm                        
rpm-libs                        4.16.1.3-37.el9                rpm                        
sed                             4.8-9.el9                      rpm                        
setup                           2.13.7-10.el9                  rpm                        
setuptools                      73.0.1                         python                     
shadow-utils                    2:4.9-12.el9                   rpm                        
six                             1.17.0                         python                     
sqlite-libs                     3.34.1-8.el9_6                 rpm                        
stdlib                          go1.24.0                       go-module                  
svg-py                          1.6.0                          python                     
systemd-libs                    252-51.0.4.el9_6.1             rpm                        
tar                             2:1.34-7.el9                   rpm                        
tomli                           2.0.1                          python                     
typeguard                       4.3.0                          python                     
typing-extensions               4.12.2                         python     (+1 duplicate)  
tzdata                          2025b-1.el9                    rpm                        
wheel                           0.43.0                         python                     
xz                              5.2.5-8.el9_0                  rpm                        
xz-libs                         5.2.5-8.el9_0                  rpm                        
zipp                            3.19.2                         python                     
zlib                            1.2.11-40.el9                  rpm                        
zstd                            1.5.5-1.el9                    rpm
